FullName,PhotoUrl,ShootingTotal,PassingTotal,PaceTotal,DefendingTotal,DribblingTotal,PhysicalityTotal,BestPosition
Marco Reus,https://cdn.sofifa.com/players/188/350/22_60.png,84,84,73,47,85,63,CAM
Leonardo Bonucci,https://cdn.sofifa.com/players/184/344/22_60.png,58,69,64,86,71,80,CB
Kyle Walker,https://cdn.sofifa.com/players/188/377/22_60.png,63,76,92,80,78,82,RB
Pierre-Emerick Aubameyang,https://cdn.sofifa.com/players/188/567/22_60.png,85,75,89,35,79,69,ST
Jorge Resurrección,https://cdn.sofifa.com/players/193/747/22_60.png,75,85,70,79,81,80,CM
Thiago Emiliano da Silva,https://cdn.sofifa.com/players/164/240/22_60.png,54,72,53,86,71,78,CB
Serge Gnabry,https://cdn.sofifa.com/players/206/113/22_60.png,84,79,83,43,86,69,RM
Stefan de Vrij,https://cdn.sofifa.com/players/198/176/22_60.png,41,64,72,87,69,79,CB
Matthijs de Ligt,https://cdn.sofifa.com/players/235/243/22_60.png,59,60,73,84,68,87,CB
Achraf Hakimi,https://cdn.sofifa.com/players/235/212/22_60.png,71,78,95,76,84,78,RB
Marcus Rashford,https://cdn.sofifa.com/players/231/677/22_60.png,84,79,90,43,85,77,CAM
Lautaro Martínez,https://cdn.sofifa.com/players/231/478/22_60.png,81,72,84,48,85,84,ST
Mikel Oyarzabal Ugarte,https://cdn.sofifa.com/players/230/142/22_60.png,82,81,82,41,84,63,LW
Wilfred Ndidi,https://cdn.sofifa.com/players/226/790/22_60.png,62,69,67,87,74,83,CB
Sergej Milinković-Savić,https://cdn.sofifa.com/players/223/848/22_60.png,79,80,68,79,81,86,CM
Luiz Frello Filho Jorge,https://cdn.sofifa.com/players/205/498/22_60.png,67,86,55,73,81,73,CM
Daniel Carvajal Ramos,https://cdn.sofifa.com/players/204/963/22_60.png,54,78,80,81,80,80,RB
Lucas Digne,https://cdn.sofifa.com/players/200/458/22_60.png,69,80,79,80,80,76,LB
David Alaba,https://cdn.sofifa.com/players/197/445/22_60.png,70,81,77,83,80,76,CB
Luis Alberto Romero Alconchel,https://cdn.sofifa.com/players/198/706/22_60.png,76,86,60,57,85,59,CAM
Dušan Tadić,https://cdn.sofifa.com/players/199/434/22_60.png,81,85,69,43,85,76,LW
Wissam Ben Yedder,https://cdn.sofifa.com/players/199/451/22_60.png,84,77,82,39,88,70,CF
Phil Foden,https://cdn.sofifa.com/players/237/692/22_60.png,78,80,84,56,87,57,CAM
Josip Iličić,https://cdn.sofifa.com/players/200/647/22_60.png,86,84,75,40,86,67,CAM
Emiliano Martínez,https://cdn.sofifa.com/players/202/811/22_60.png,83,82,85,58,85,83,GK
Iago Aspas Juncal,https://cdn.sofifa.com/players/192/629/22_60.png,85,79,82,35,86,63,ST
Harry Maguire,https://cdn.sofifa.com/players/203/263/22_60.png,55,69,50,85,70,87,CB
David De Gea Quintana,https://cdn.sofifa.com/players/193/080/22_60.png,79,76,86,58,87,79,GK
Gerard Piqué Bernabeu,https://cdn.sofifa.com/players/152/729/22_60.png,61,71,58,85,67,78,CB
Kieran Trippier,https://cdn.sofifa.com/players/186/345/22_60.png,63,82,73,80,77,72,RB
Fernando Reges,https://cdn.sofifa.com/players/184/134/22_60.png,62,75,66,83,73,82,CDM
Jordan Henderson,https://cdn.sofifa.com/players/183/711/22_60.png,74,83,66,78,78,81,CDM
Georginio Wijnaldum,https://cdn.sofifa.com/players/181/291/22_60.png,75,80,77,79,86,79,CM
Dries Mertens,https://cdn.sofifa.com/players/175/943/22_60.png,82,80,85,34,88,50,CF
Marcel Sabitzer,https://cdn.sofifa.com/players/204/923/22_60.png,84,81,78,67,80,78,CM
Jesús Navas González,https://cdn.sofifa.com/players/146/536/22_60.png,69,81,87,79,84,58,RB
Zlatan Ibrahimović,https://cdn.sofifa.com/players/041/236/22_60.png,87,78,65,34,79,77,ST
Kai Havertz,https://cdn.sofifa.com/players/235/790/22_60.png,78,79,82,45,84,66,CAM
Stefan Savić,https://cdn.sofifa.com/players/204/639/22_60.png,35,57,64,87,56,76,CB
Theo Hernández,https://cdn.sofifa.com/players/232/656/22_60.png,71,76,93,77,81,82,LB
Youri Tielemans,https://cdn.sofifa.com/players/216/393/22_60.png,79,86,63,71,80,72,CM
Jack Grealish,https://cdn.sofifa.com/players/206/517/22_60.png,76,83,80,46,88,64,CAM
Nabil Fekir,https://cdn.sofifa.com/players/216/594/22_60.png,83,82,83,38,87,79,CAM
Leroy Sané,https://cdn.sofifa.com/players/222/492/22_60.png,81,79,90,38,85,68,ST
Nicolò Barella,https://cdn.sofifa.com/players/224/232/22_60.png,71,79,78,75,86,78,CM
Marcos Acuña,https://cdn.sofifa.com/players/224/334/22_60.png,74,82,76,79,87,82,LB
Marcelo Brozović,https://cdn.sofifa.com/players/216/352/22_60.png,74,80,69,79,79,78,CDM
André Miguel Valente da Silva,https://cdn.sofifa.com/players/228/941/22_60.png,84,69,74,45,83,77,ST
Franck Yannick Kessié,https://cdn.sofifa.com/players/230/938/22_60.png,74,74,78,82,79,87,CDM
Luke Shaw,https://cdn.sofifa.com/players/205/988/22_60.png,54,79,79,81,80,80,LB
Matthias Ginter,https://cdn.sofifa.com/players/207/862/22_60.png,58,72,62,86,65,79,CB
Felipe Augusto de Almeida Monteiro,https://cdn.sofifa.com/players/207/863/22_60.png,41,58,61,85,61,84,CB
Yannick Carrasco,https://cdn.sofifa.com/players/208/418/22_60.png,81,78,88,45,86,67,LM
Filip Kostić,https://cdn.sofifa.com/players/208/574/22_60.png,77,82,88,68,83,80,LM
Hakim Ziyech,https://cdn.sofifa.com/players/208/670/22_60.png,76,87,78,50,84,65,RW
Raphaël Guerreiro,https://cdn.sofifa.com/players/209/889/22_60.png,77,85,75,76,88,58,LB
Ricardo Barbosa Pereira,https://cdn.sofifa.com/players/210/243/22_60.png,67,78,83,80,82,75,RB
Timo Werner,https://cdn.sofifa.com/players/212/188/22_60.png,81,70,91,35,83,70,ST
Mike Maignan,https://cdn.sofifa.com/players/215/698/22_60.png,81,85,83,50,86,84,GK
José María Giménez,https://cdn.sofifa.com/players/216/460/22_60.png,45,57,72,86,58,80,CB
Sebastián Coates,https://cdn.sofifa.com/players/197/655/22_60.png,49,55,68,84,63,87,CB
John Stones,https://cdn.sofifa.com/players/203/574/22_60.png,51,71,70,84,74,78,CB
Allan Marques Loureiro,https://cdn.sofifa.com/players/199/914/22_60.png,71,77,72,80,81,79,CDM
Kevin Volland,https://cdn.sofifa.com/players/200/610/22_60.png,85,79,73,42,80,86,ST
Álvaro Borja Morata Martín,https://cdn.sofifa.com/players/201/153/22_60.png,80,72,82,31,81,77,ST
Mauro Icardi,https://cdn.sofifa.com/players/201/399/22_60.png,83,65,69,36,77,69,ST
Leonardo Spinazzola,https://cdn.sofifa.com/players/202/884/22_60.png,64,73,92,78,81,71,LWB
Nick Pope,https://cdn.sofifa.com/players/203/841/22_60.png,83,75,81,48,84,83,GK
Raúl Jiménez,https://cdn.sofifa.com/players/204/838/22_60.png,82,76,72,47,81,82,ST
Francesco Acerbi,https://cdn.sofifa.com/players/199/845/22_60.png,50,62,63,86,63,83,CB
Kostas Manolas,https://cdn.sofifa.com/players/192/774/22_60.png,25,44,81,85,61,81,CB
Antonio Rüdiger,https://cdn.sofifa.com/players/205/452/22_60.png,43,68,75,84,63,84,CB
Jérôme Boateng,https://cdn.sofifa.com/players/183/907/22_60.png,50,73,72,84,66,79,CB
Fernando Luiz Rosa,https://cdn.sofifa.com/players/135/507/22_60.png,72,75,59,84,77,75,CDM
Carlos Vela,https://cdn.sofifa.com/players/169/416/22_60.png,82,78,80,31,84,67,RW
Axel Witsel,https://cdn.sofifa.com/players/177/413/22_60.png,72,81,61,82,78,79,CDM
Sergio Asenjo Andrés,https://cdn.sofifa.com/players/178/750/22_60.png,83,78,85,56,83,81,GK
Simon Kjær,https://cdn.sofifa.com/players/179/645/22_60.png,55,64,67,85,58,78,CB
Edin Džeko,https://cdn.sofifa.com/players/180/930/22_60.png,83,72,66,45,78,76,ST
Toby Alderweireld,https://cdn.sofifa.com/players/184/087/22_60.png,55,70,58,86,66,77,CB
Henrikh Mkhitaryan,https://cdn.sofifa.com/players/192/883/22_60.png,80,79,85,56,84,74,CF
César Azpilicueta Tanco,https://cdn.sofifa.com/players/184/432/22_60.png,55,76,66,84,72,76,CB
Iker Muniain Goñi,https://cdn.sofifa.com/players/189/575/22_60.png,76,82,81,51,87,61,CAM
Sergio Canales Madrazo,https://cdn.sofifa.com/players/190/286/22_60.png,80,85,83,67,82,71,CAM
Lukáš Hrádecký,https://cdn.sofifa.com/players/190/941/22_60.png,78,69,85,41,87,83,GK
Alex Sandro Lobo Silva,https://cdn.sofifa.com/players/191/043/22_60.png,65,77,81,78,79,79,LB
Bernd Leno,https://cdn.sofifa.com/players/192/563/22_60.png,80,76,85,56,85,83,GK
Jordan Pickford,https://cdn.sofifa.com/players/204/935/22_60.png,78,87,83,48,86,80,GK
Jules Koundé,https://cdn.sofifa.com/players/241/486/22_60.png,45,64,81,84,72,78,CB
Lucas Ocampos,https://cdn.sofifa.com/players/205/632/22_60.png,84,78,81,63,83,84,LW
Presnel Kimpembe,https://cdn.sofifa.com/players/225/850/22_60.png,42,68,81,83,69,86,CB
Joel Matip,https://cdn.sofifa.com/players/197/061/22_60.png,46,68,58,85,68,78,CB
Mateo Kovačić,https://cdn.sofifa.com/players/207/410/22_60.png,69,83,70,69,88,70,CM
João Félix Sequeira,https://cdn.sofifa.com/players/242/444/22_60.png,79,76,82,40,86,68,CAM
Federico Valverde,https://cdn.sofifa.com/players/239/053/22_60.png,74,78,86,77,79,80,CM
Federico Chiesa,https://cdn.sofifa.com/players/235/805/22_60.png,81,74,91,48,86,73,CAM
Édouard Mendy,https://cdn.sofifa.com/players/234/642/22_60.png,82,78,83,34,84,81,GK
Mason Mount,https://cdn.sofifa.com/players/233/064/22_60.png,79,84,74,55,83,65,CAM
Ousmane Dembélé,https://cdn.sofifa.com/players/231/443/22_60.png,77,77,93,36,87,56,LM
Gabriel Fernando de Jesus,https://cdn.sofifa.com/players/230/666/22_60.png,81,72,84,39,87,73,ST
Arthur Henrique Ramos Oliveira Melo,https://cdn.sofifa.com/players/230/658/22_60.png,67,83,69,72,88,70,CM
Ronaldo Jailson Cabrais Petri,https://cdn.sofifa.com/players/230/481/22_60.png,77,83,88,35,84,72,RM
Aaron Wan-Bissaka,https://cdn.sofifa.com/players/229/880/22_60.png,52,69,85,81,79,75,RWB
Ferland Mendy,https://cdn.sofifa.com/players/228/618/22_60.png,64,76,92,78,80,84,LWB
Juan Cuadrado,https://cdn.sofifa.com/players/193/082/22_60.png,75,77,90,76,88,72,RB
Mikel Merino Zazón,https://cdn.sofifa.com/players/225/193/22_60.png,78,81,74,82,82,81,CM
Duván Zapata,https://cdn.sofifa.com/players/215/333/22_60.png,81,61,80,35,78,84,ST
Robin Gosens,https://cdn.sofifa.com/players/223/697/22_60.png,75,74,82,77,79,81,LWB
Thomas Lemar,https://cdn.sofifa.com/players/213/565/22_60.png,76,82,82,59,87,63,CAM
Pierre-Emile Højbjerg,https://cdn.sofifa.com/players/213/648/22_60.png,71,76,60,81,76,82,CDM
Ángel Correa,https://cdn.sofifa.com/players/214/997/22_60.png,83,78,85,49,88,74,CAM
Thomas Partey,https://cdn.sofifa.com/players/209/989/22_60.png,71,82,69,80,81,84,CM
Andrej Kramarić,https://cdn.sofifa.com/players/216/354/22_60.png,86,76,71,30,86,71,ST
José Ángel Esmoris Tasende,https://cdn.sofifa.com/players/220/651/22_60.png,71,82,78,76,84,70,LM
Lucas Hernández,https://cdn.sofifa.com/players/220/814/22_60.png,54,68,77,84,70,79,CB
Marco Asensio Willemsen,https://cdn.sofifa.com/players/220/834/22_60.png,80,81,82,43,83,62,CAM
Wout Weghorst,https://cdn.sofifa.com/players/223/689/22_60.png,83,59,63,52,69,86,ST
José Luís Gayà Peña,https://cdn.sofifa.com/players/211/688/22_60.png,61,77,83,79,80,73,LWB
Alphonso Davies,https://cdn.sofifa.com/players/234/396/22_60.png,67,71,96,75,83,75,LB
Unai Simón Mendibil,https://cdn.sofifa.com/players/230/869/22_60.png,77,76,82,47,84,85,GK
Richarlison de Andrade,https://cdn.sofifa.com/players/231/943/22_60.png,78,73,83,53,84,80,ST
Cristian Romero,https://cdn.sofifa.com/players/232/488/22_60.png,46,52,76,83,60,84,CB
Denzel Dumfries,https://cdn.sofifa.com/players/233/096/22_60.png,61,66,80,78,72,89,RB
Raphael Dias Belloli,https://cdn.sofifa.com/players/233/419/22_60.png,76,76,91,49,85,72,LM
Alexander Isak,https://cdn.sofifa.com/players/233/731/22_60.png,82,68,84,29,79,69,ST
Ferran Torres García,https://cdn.sofifa.com/players/241/461/22_60.png,79,78,82,35,82,66,CAM
Florian Neuhaus,https://cdn.sofifa.com/players/234/943/22_60.png,72,79,64,66,83,67,CM
Youssef En-Nesyri,https://cdn.sofifa.com/players/235/410/22_60.png,83,58,78,35,79,76,ST
Tanguy Ndombele,https://cdn.sofifa.com/players/235/569/22_60.png,72,81,71,69,88,72,CAM
Tomáš Souček,https://cdn.sofifa.com/players/236/792/22_60.png,72,74,64,82,74,85,CDM
Éder Gabriel Militão,https://cdn.sofifa.com/players/240/130/22_60.png,50,69,83,83,71,82,CB
Raphael William Anjos Rochedo,https://cdn.sofifa.com/players/230/168/22_60.png,84,77,79,42,78,83,GK
Pau Francisco Torres,https://cdn.sofifa.com/players/241/464/22_60.png,38,67,72,84,69,80,CB
Dominik Livaković,https://cdn.sofifa.com/players/241/671/22_60.png,78,74,81,55,85,80,GK
Daniel Olmo Carvajal,https://cdn.sofifa.com/players/244/260/22_60.png,76,81,67,50,86,60,CAM
Josué Durval Chiamulera Vaz,https://cdn.sofifa.com/players/230/375/22_60.png,43,56,78,85,64,79,CB
Christian Pulisic,https://cdn.sofifa.com/players/227/796/22_60.png,70,73,89,37,87,59,RM
Ben Chilwell,https://cdn.sofifa.com/players/229/984/22_60.png,53,77,76,78,78,75,LWB
James Maddison,https://cdn.sofifa.com/players/220/697/22_60.png,78,84,75,54,84,60,CAM
Niklas Süle,https://cdn.sofifa.com/players/212/190/22_60.png,42,59,65,83,49,81,CB
Alex Nicolao Telles,https://cdn.sofifa.com/players/212/462/22_60.png,73,82,83,77,78,73,LB
Anderson Souza Conceição,https://cdn.sofifa.com/players/212/523/22_60.png,83,81,80,52,83,75,CAM
Rodrigo Javier De Paul,https://cdn.sofifa.com/players/212/616/22_60.png,76,80,78,71,82,79,CM
Rafael A. Ferreira Silva,https://cdn.sofifa.com/players/216/547/22_60.png,73,74,94,50,86,52,RM
Diego Carlos Santos Silva,https://cdn.sofifa.com/players/219/693/22_60.png,47,63,77,81,67,83,CB
Ante Rebić,https://cdn.sofifa.com/players/220/018/22_60.png,83,75,86,48,82,80,LM
Képler Laveran Lima Ferreira,https://cdn.sofifa.com/players/120/533/22_60.png,51,60,80,82,60,87,CB
Manuel Locatelli,https://cdn.sofifa.com/players/222/077/22_60.png,72,79,61,79,77,79,CM
Leon Bailey,https://cdn.sofifa.com/players/229/906/22_60.png,78,74,93,33,84,64,LM
Martin Ødegaard,https://cdn.sofifa.com/players/222/665/22_60.png,74,83,77,58,84,62,CAM
Rúben Diogo da Silva Neves,https://cdn.sofifa.com/players/224/293/22_60.png,75,85,59,74,77,73,CM
Diogo José Teixeira da Silva,https://cdn.sofifa.com/players/224/458/22_60.png,81,73,84,57,85,77,ST
Joe Gomez,https://cdn.sofifa.com/players/225/100/22_60.png,30,66,81,83,69,78,CB
Fabián Ruiz Peña,https://cdn.sofifa.com/players/226/271/22_60.png,78,79,63,74,82,71,CM
João Maria Palhinha Gonçalves,https://cdn.sofifa.com/players/229/391/22_60.png,65,70,60,85,72,88,CB
Dayot Upamecano,https://cdn.sofifa.com/players/229/558/22_60.png,43,62,81,81,68,81,CB
Mario Hermoso Canseco,https://cdn.sofifa.com/players/229/668/22_60.png,49,72,76,83,70,80,CB
Clément Lenglet,https://cdn.sofifa.com/players/220/440/22_60.png,45,67,74,82,64,78,CB
Christian Eriksen,https://cdn.sofifa.com/players/190/460/22_60.png,78,88,62,53,81,52,CM
Raúl Albiol Tortajada,https://cdn.sofifa.com/players/157/481/22_60.png,41,62,40,86,62,73,CB
Cristian Portugues Manzanera,https://cdn.sofifa.com/players/205/070/22_60.png,78,77,90,59,79,79,RW
Luis Muriel,https://cdn.sofifa.com/players/199/110/22_60.png,83,74,89,27,86,67,ST
Anthony Lopes,https://cdn.sofifa.com/players/199/482/22_60.png,78,70,84,64,86,80,GK
José Gómez Campaña,https://cdn.sofifa.com/players/199/823/22_60.png,74,83,68,71,82,72,CM
Gabriel Armando de Abreu,https://cdn.sofifa.com/players/201/305/22_60.png,49,71,69,84,65,83,CB
Jordan Veretout,https://cdn.sofifa.com/players/201/519/22_60.png,75,77,77,77,78,81,CDM
Jesús Joaquín Fernández Sáez,https://cdn.sofifa.com/players/202/651/22_60.png,76,82,76,32,86,55,RW
Thorgan Hazard,https://cdn.sofifa.com/players/203/486/22_60.png,76,80,80,53,85,66,LM
Juan Bernat Velasco,https://cdn.sofifa.com/players/205/069/22_60.png,65,78,82,76,83,68,LB
Hakan Çalhanoğlu,https://cdn.sofifa.com/players/208/128/22_60.png,78,84,67,59,85,57,CAM
Francisco Román Alarcón Suárez,https://cdn.sofifa.com/players/197/781/22_60.png,75,80,66,59,89,59,CAM
Emre Can,https://cdn.sofifa.com/players/208/333/22_60.png,78,78,78,84,80,87,CDM
Saúl Ñíguez Esclápez,https://cdn.sofifa.com/players/208/421/22_60.png,78,78,71,78,79,79,CM
Marten de Roon,https://cdn.sofifa.com/players/208/461/22_60.png,68,71,66,82,72,83,CDM
Yassine Bounou,https://cdn.sofifa.com/players/209/981/22_60.png,79,76,82,35,84,81,GK
Alejandro Grimaldo García,https://cdn.sofifa.com/players/210/035/22_60.png,65,81,87,74,83,71,CM
Alessio Romagnoli,https://cdn.sofifa.com/players/210/413/22_60.png,40,56,68,85,67,78,CB
Domenico Berardi,https://cdn.sofifa.com/players/210/935/22_60.png,80,81,79,36,85,69,RW
Nicolás Tagliafico,https://cdn.sofifa.com/players/211/256/22_60.png,55,73,80,81,75,81,LB
Wilfried Zaha,https://cdn.sofifa.com/players/198/717/22_60.png,77,73,89,34,88,75,CF
Norberto Murara Neto,https://cdn.sofifa.com/players/194/404/22_60.png,79,78,83,54,81,79,GK
Łukasz Fabiański,https://cdn.sofifa.com/players/164/835/22_60.png,82,71,82,48,82,83,GK
Oscar dos Santos Emboaba,https://cdn.sofifa.com/players/188/152/22_60.png,79,82,78,59,82,67,CAM
Salvatore Sirigu,https://cdn.sofifa.com/players/168/435/22_60.png,77,76,82,46,80,84,GK
Ivan Rakitić,https://cdn.sofifa.com/players/168/651/22_60.png,79,85,57,75,78,69,CM
Gareth Bale,https://cdn.sofifa.com/players/173/731/22_60.png,84,82,82,55,80,70,RM
Rui Pedro dos Santos Patrício,https://cdn.sofifa.com/players/178/005/22_60.png,80,77,82,55,83,80,GK
Éver Banega,https://cdn.sofifa.com/players/178/562/22_60.png,75,84,62,76,82,71,CDM
Miralem Pjanić,https://cdn.sofifa.com/players/180/206/22_60.png,68,83,65,75,81,67,CM
Yuri Berchiche Izeta,https://cdn.sofifa.com/players/183/512/22_60.png,68,76,83,79,76,82,LB
Lars Stindl,https://cdn.sofifa.com/players/187/072/22_60.png,84,81,61,60,81,73,CAM
Kevin Trapp,https://cdn.sofifa.com/players/188/943/22_60.png,78,79,82,49,84,82,GK
