ShootingTotal,PassingTotal,PaceTotal,DefendingTotal,DribblingTotal,PhysicalityTotal,BestPosition
74,83,77,58,84,62,CAM
75,85,59,74,77,73,CM
81,73,84,57,85,77,ST
30,66,81,83,69,78,CB
78,79,63,74,82,71,CM
65,70,60,85,72,88,CB
43,62,81,81,68,81,CB
49,72,76,83,70,80,CB
45,67,74,82,64,78,CB
78,88,62,53,81,52,CM
41,62,40,86,62,73,CB
78,77,90,59,79,79,RW
83,74,89,27,86,67,ST
78,70,84,64,86,80,GK
74,83,68,71,82,72,CM
49,71,69,84,65,83,CB
75,77,77,77,78,81,CDM
76,82,76,32,86,55,RW
76,80,80,53,85,66,LM
65,78,82,76,83,68,LB
78,84,67,59,85,57,CAM
75,80,66,59,89,59,CAM
78,78,78,84,80,87,CDM
78,78,71,78,79,79,CM
68,71,66,82,72,83,CDM
79,76,82,35,84,81,GK
65,81,87,74,83,71,CM
40,56,68,85,67,78,CB
80,81,79,36,85,69,RW
55,73,80,81,75,81,LB
77,73,89,34,88,75,CF
79,78,83,54,81,79,GK
82,71,82,48,82,83,GK
79,82,78,59,82,67,CAM
77,76,82,46,80,84,GK
79,85,57,75,78,69,CM
84,82,82,55,80,70,RM
80,77,82,55,83,80,GK
75,84,62,76,82,71,CDM
68,83,65,75,81,67,CM
68,76,83,79,76,82,LB
84,81,61,60,81,73,CAM
78,79,82,49,84,82,GK
80,79,81,49,82,79,GK
79,80,69,52,89,59,CAM
64,82,45,83,79,72,CB
75,83,68,55,84,69,CAM
79,76,85,55,85,80,GK
67,79,83,74,85,60,RM
82,74,75,44,82,72,ST
66,72,69,83,78,77,CDM
61,74,81,78,79,79,RB
81,76,82,47,82,83,GK
53,71,67,81,73,80,CDM
63,71,64,80,73,86,CDM
62,76,92,70,83,65,RWB
66,77,77,75,81,71,CDM
73,79,82,69,80,69,RW
81,59,76,38,78,83,ST
73,82,70,35,83,62,CAM
65,79,78,66,84,63,CAM
67,76,84,77,81,75,LWB
74,77,84,56,84,76,LM
52,65,75,82,68,79,CB
58,75,86,78,78,70,LB
67,73,94,41,86,53,LM
81,79,76,56,84,65,CAM
67,78,79,73,80,74,LM
58,77,80,76,78,80,RWB
75,80,79,30,83,58,RW
76,75,82,30,84,83,GK
71,83,66,76,79,79,CM
81,79,65,76,78,74,CM
78,78,87,47,81,64,RM
80,73,82,39,84,80,GK
74,86,59,67,78,73,CM
84,67,64,39,76,71,ST
36,52,49,84,54,80,CB
56,66,71,81,63,79,CB
51,63,65,81,56,85,CB
77,74,83,39,84,80,GK
77,79,76,76,80,62,RB
45,67,57,82,64,81,CB
77,76,82,53,83,80,GK
74,76,76,76,79,79,CM
75,81,81,70,85,61,CAM
61,57,71,82,62,80,CB
76,72,93,41,83,62,RW
57,74,77,82,76,68,CDM
84,62,78,33,72,71,ST
54,76,79,75,78,74,LB
74,81,78,72,80,77,CAM
49,62,68,82,63,77,CB
74,80,84,43,82,84,GK
76,82,75,69,83,73,CAM
49,69,80,82,73,80,CB
79,75,88,36,83,65,RM
68,77,81,80,78,77,RWB
79,76,86,36,82,68,LM
65,76,67,78,75,82,CDM
80,72,81,41,82,80,GK
77,64,83,39,77,82,ST
69,79,78,63,85,68,LM
78,76,68,72,79,77,CM
78,80,79,46,82,79,GK
64,72,84,77,77,79,RWB
37,62,69,83,61,79,CB
82,75,86,52,85,68,ST
77,78,83,42,84,55,RM
78,72,94,37,78,81,ST
75,77,84,39,85,69,CAM
78,73,82,44,86,82,GK
75,80,73,48,84,66,CAM
78,67,84,43,84,78,GK
80,73,87,35,86,68,CAM
80,75,88,38,83,70,LM
79,70,90,43,86,68,RM
66,75,93,72,76,77,LWB
37,66,78,81,69,80,CB
73,79,75,65,85,69,CAM
80,78,80,48,81,81,GK
84,71,58,29,78,71,ST
46,62,32,83,62,77,CB
62,72,76,83,66,78,CB
65,73,56,82,75,69,CDM
81,78,78,55,80,83,GK
79,76,81,64,79,74,LM
79,79,65,82,79,82,CM
81,81,64,40,82,66,CF
81,79,79,44,78,82,ST
76,78,79,47,86,68,CAM
64,74,67,80,75,85,CDM
57,62,63,83,58,81,CB
77,76,86,45,81,63,CAM
84,69,77,35,80,61,ST
77,82,78,71,80,72,CAM
77,80,75,70,84,78,CAM
74,81,79,69,85,65,CAM
80,83,74,64,81,79,CF
81,67,76,20,77,78,ST
71,74,75,83,74,82,CB
78,67,82,55,83,81,GK
82,73,84,37,75,85,ST
67,81,70,63,85,62,CM
84,70,79,45,79,70,ST
77,81,75,64,82,66,CM
75,79,82,63,83,69,CAM
86,86,53,50,86,60,CAM
82,72,81,40,83,80,GK
75,76,70,78,76,84,CM
82,73,68,41,76,84,ST
83,69,79,34,72,79,ST
80,84,68,44,81,55,CAM
81,82,80,36,82,66,RW
80,78,81,53,79,81,GK
63,80,76,76,77,73,RB
67,73,73,82,74,79,RB
77,81,70,37,85,68,LW
31,65,65,83,68,72,CB
78,76,77,40,78,82,ST
77,70,79,45,82,81,GK
53,71,75,79,76,69,LWB
78,78,68,65,82,75,CAM
77,74,82,44,84,77,GK
67,79,82,73,75,75,LB
69,80,69,66,83,68,CM
79,72,80,48,83,80,GK
76,67,78,43,85,79,GK
79,78,80,54,80,79,GK
66,73,84,76,76,79,RB
77,77,66,76,78,78,CM
77,78,83,55,79,72,RM
43,67,83,81,70,81,CB
73,75,70,65,86,66,CAM
79,72,80,49,82,80,GK
51,73,63,81,71,78,CDM
51,64,85,82,71,77,RB
75,73,86,32,86,62,CAM
63,70,78,74,75,80,RB
61,72,73,80,73,74,CB
46,74,66,81,69,74,CB
78,78,88,46,81,69,RM
77,81,68,70,80,72,CM
79,72,90,30,83,74,ST
73,70,76,33,76,90,GK
75,71,79,49,83,81,GK
72,78,77,50,84,82,GK
72,84,50,70,79,66,CM
32,61,52,83,58,77,CB
82,81,41,65,78,83,CM
78,80,74,76,77,76,CM
40,60,56,82,61,76,CB
75,76,80,51,82,84,GK
72,80,73,75,88,71,CAM
77,83,69,38,82,67,LW
45,52,63,81,62,82,CB
61,74,65,80,74,68,LB
84,78,71,73,74,80,CAM
48,63,57,80,60,78,CB
46,60,76,80,67,80,CB
80,63,88,39,75,81,ST
70,73,69,73,77,81,CDM
79,78,80,49,83,76,GK
68,76,84,65,82,64,LM
56,73,77,78,75,81,RB
73,78,85,45,80,57,CAM
67,73,80,75,79,75,RWB
77,78,83,48,83,71,CAM
77,70,92,32,82,71,RM
22,49,72,81,48,76,CB
73,73,84,70,81,78,RM
81,68,66,32,73,82,ST
70,71,95,29,87,66,RM
33,65,65,82,68,80,CB
75,75,66,78,75,84,CDM
50,72,74,79,72,78,CDM
75,60,82,36,85,71,GK
61,74,82,75,81,71,RB
80,72,78,61,79,82,GK
76,78,78,43,84,68,CF
80,61,87,25,79,67,ST
82,74,77,39,79,73,ST
70,67,70,81,60,81,CB
71,77,69,75,77,73,CM
76,80,74,58,82,66,CAM
42,75,57,76,77,76,CDM
55,73,79,78,74,77,RB
75,80,65,52,82,65,CAM
77,79,75,43,82,69,CAM
79,79,79,41,81,68,RW
76,76,77,48,81,59,RM
62,68,65,80,67,78,CB
74,83,67,69,82,69,CAM
79,62,66,51,74,81,ST
50,63,61,82,60,77,CB
79,82,76,45,83,81,GK
49,65,55,82,65,80,CB
82,63,77,41,77,74,ST
74,80,71,69,84,68,CM
67,74,74,79,79,75,CDM
64,74,82,75,81,75,LB
78,77,72,41,81,74,CF
70,81,66,66,83,66,CM
47,58,66,82,62,80,CB
79,60,81,47,86,77,GK
67,76,68,78,80,79,CM
79,77,81,52,82,77,GK
76,73,85,57,84,68,RM
74,79,76,68,82,73,CM
66,77,68,77,77,78,CDM
73,83,74,49,81,73,CAM
76,72,68,75,71,81,CDM
80,71,80,56,82,79,GK
79,82,58,72,77,70,CM
76,81,72,57,82,59,CAM
80,71,90,36,76,77,ST
71,80,65,76,77,72,CDM
80,67,88,38,82,76,ST
64,76,82,74,77,88,RB
80,64,65,35,74,80,ST
51,70,76,77,78,70,RB
79,78,77,37,81,80,GK
65,80,73,77,80,69,LB
57,68,82,75,81,75,RWB
48,67,81,81,74,77,CB
64,72,83,80,75,84,CB
45,50,62,80,58,84,CB
60,83,67,67,83,59,CM
64,79,74,78,80,77,CDM
75,81,63,67,77,76,CM
72,77,80,26,83,45,CAM
39,55,67,81,56,85,CB
74,77,84,72,84,84,CAM
67,80,73,73,84,73,CM
60,75,84,75,77,79,LWB
78,75,85,39,83,69,CAM
76,76,83,63,82,65,RM
74,73,89,39,81,69,RM
75,78,81,41,79,81,GK
79,65,83,28,81,64,CF
79,60,64,40,70,81,ST
67,75,36,80,72,73,CDM
72,77,65,78,79,75,CDM
78,77,83,41,79,72,CF
82,76,68,43,83,70,CAM
80,73,84,48,79,79,ST
74,78,58,75,77,77,LWB
69,71,74,78,72,76,RB
77,63,82,60,82,80,GK
75,74,87,46,80,63,LW
60,75,69,77,76,68,LB
76,73,83,55,78,83,ST
71,77,47,77,78,69,CDM
78,71,50,46,69,75,ST
42,58,62,81,62,78,CB
76,80,75,46,81,67,RM
70,75,33,77,69,79,CDM
77,77,79,44,83,75,CAM
66,76,70,74,75,75,CDM
64,74,65,75,74,78,CDM
64,75,45,75,72,70,CDM
70,79,60,75,69,83,CDM
40,59,49,81,55,79,CB
83,69,71,37,79,70,ST
58,75,47,79,66,75,CDM
50,70,44,78,72,75,CDM
80,73,71,72,76,78,CAM
75,73,87,38,82,70,RM
33,59,64,80,57,82,CB
76,71,85,34,82,72,RW
36,64,62,79,64,83,CB
75,78,66,71,79,71,CM
73,73,88,30,83,64,LM
64,69,53,79,64,83,CB
74,75,68,78,76,89,CM
74,64,80,28,82,77,GK
77,77,79,42,80,79,GK
75,74,89,48,80,62,LM
64,79,50,69,69,80,CDM
82,75,79,32,77,69,ST
56,67,70,80,71,79,CB
74,77,81,67,83,74,CAM
78,75,86,45,79,71,LW
80,70,42,42,71,77,ST
78,66,80,41,78,77,ST
78,82,54,59,77,66,CAM
65,72,73,77,76,79,CDM
77,71,78,52,79,81,GK
75,73,80,55,81,78,GK
53,71,78,73,76,77,RB
66,67,85,75,74,79,RB
59,72,73,77,75,80,CB
58,71,79,75,72,79,RB
74,70,80,45,82,78,GK
42,58,73,79,67,77,CB
72,79,81,67,84,69,RM
73,80,73,64,82,67,CAM
33,61,66,79,59,77,CB
74,79,68,69,80,68,CM
73,73,79,41,83,80,GK
53,72,69,78,71,76,RB
78,70,82,48,80,77,ST
81,65,81,44,78,83,ST
81,69,73,30,77,68,ST
58,70,89,74,77,59,LB
52,70,83,76,71,71,RB
62,74,67,78,76,76,CDM
70,70,71,80,72,83,CB
75,71,81,60,82,77,GK
80,61,68,31,76,76,ST
57,71,78,75,76,70,RB
68,85,62,24,79,48,CAM
66,73,76,75,74,71,RWB
72,77,82,34,84,77,GK
78,79,72,61,80,62,RM
68,76,70,73,85,77,CM
81,68,60,36,72,74,ST
77,77,78,49,80,78,GK
73,81,69,30,85,53,CAM
78,75,78,42,81,69,CAM
76,76,77,44,82,77,GK
33,48,70,82,65,78,CB
69,70,91,25,88,61,CAM
60,75,59,80,77,75,CDM
78,64,67,44,74,81,ST
69,76,70,67,84,70,CM
54,72,85,73,76,77,RB
48,68,64,77,74,84,CDM
78,75,79,35,82,66,CAM
54,60,45,80,60,81,CB
69,72,69,79,74,82,CB
45,55,75,80,65,80,CB
39,63,74,80,68,77,CB
74,75,75,75,76,81,CM
80,66,84,32,78,67,ST
53,70,77,77,76,74,RB
76,81,73,39,83,51,CAM
36,59,60,80,60,84,CB
69,73,75,75,80,77,CM
72,72,91,37,84,65,CAM
77,62,80,45,83,76,GK
71,80,79,61,83,65,CAM
77,62,71,45,70,84,ST
74,79,70,41,81,62,LM
76,79,58,65,82,70,CM
70,72,80,75,78,68,RB
76,79,80,45,80,58,LM
53,56,72,80,65,78,CB
51,69,88,74,73,80,RB
72,80,75,57,78,66,RM
62,71,84,74,75,77,RB
82,69,76,36,80,68,ST
55,70,83,74,70,81,LB
39,59,68,82,48,79,CB
76,72,70,77,76,81,CM
75,73,82,46,83,77,GK
60,76,40,75,69,84,CDM
79,75,76,58,81,68,CAM
77,85,78,33,81,76,GK
71,78,56,70,78,67,CM
82,77,71,39,79,74,CF
58,75,69,78,75,73,LB
70,81,56,77,77,75,CDM
63,78,67,74,78,75,CM
69,84,51,59,83,57,CAM
33,56,88,80,64,77,CB
68,75,70,77,79,75,CM
76,71,87,32,83,56,CAM
80,68,75,29,78,74,ST
36,60,68,80,57,80,CB
60,72,47,77,73,76,CDM
68,79,75,41,83,59,CAM
37,57,82,80,64,79,CB
67,75,68,79,73,81,CDM
55,71,82,74,76,65,RB
79,70,70,35,80,68,ST
70,74,89,35,83,60,CAM
78,77,80,26,83,74,GK
39,57,81,80,59,79,CB
63,71,65,79,68,79,CDM
39,63,61,81,70,78,CB
68,75,56,77,71,78,CDM
53,74,84,74,78,74,LWB
79,70,76,38,80,71,ST
69,76,72,77,77,81,CM
72,79,65,76,72,77,CM
78,74,85,31,84,69,CAM
78,74,85,41,79,72,RM
58,73,71,79,75,80,CDM
81,78,75,63,82,56,CAM
72,73,85,37,85,64,CAM
34,68,82,75,72,75,LB
77,56,85,40,78,75,ST
44,62,41,80,64,81,CDM
78,79,77,46,77,79,GK
70,83,46,66,76,71,CM
71,81,55,36,81,42,CAM
43,73,74,72,73,79,RWB
73,77,69,57,78,72,CAM
40,58,73,80,58,81,CB
63,77,76,71,76,79,CM
60,72,79,73,74,82,RB
29,52,70,79,57,83,CB
81,64,59,36,72,77,ST
75,75,59,73,75,80,CM
51,62,46,79,63,78,CB
66,74,72,73,77,68,LWB
80,70,80,58,77,75,GK
83,74,61,30,79,63,CF
77,73,78,45,78,78,GK
76,76,76,41,77,72,LM
78,79,47,59,75,73,CM
72,86,73,52,85,74,GK
62,74,74,74,75,79,RB
64,73,68,75,75,76,RB
74,76,85,55,82,59,LM
67,74,82,72,78,72,RB
46,55,50,80,50,78,CB
79,66,65,40,74,80,ST
79,62,82,30,78,67,ST
42,65,50,79,59,78,CB
56,70,40,77,66,85,CDM
72,75,48,77,71,76,CM
76,63,68,31,75,66,ST
75,79,58,75,70,79,CM
65,73,66,78,76,70,RB
61,73,74,75,75,87,CDM
58,69,70,78,74,68,RWB
74,79,63,79,74,74,LB
72,76,73,42,84,66,CAM
72,78,67,63,79,66,CM
64,62,64,78,69,85,CB
78,69,65,29,71,86,ST
78,48,65,35,74,77,ST
78,67,72,48,71,84,ST
75,80,69,70,80,65,CM
62,80,58,74,73,75,CDM
73,77,74,40,84,52,CAM
49,70,55,77,69,79,CDM
47,58,64,79,59,79,CB
74,79,81,44,79,77,GK
73,80,64,52,79,50,CAM
81,64,61,44,74,74,ST
63,74,69,78,71,71,LB
61,71,73,77,73,68,LB
75,78,69,67,80,71,CAM
48,62,32,79,48,82,CB
70,74,83,37,81,59,RM
51,69,83,73,77,65,RB
69,73,73,76,74,77,RB
72,73,80,44,80,56,CAM
76,74,77,23,81,79,GK
79,76,79,44,79,70,CAM
75,77,84,69,81,67,CAM
56,74,70,72,77,80,CDM
70,74,70,67,78,72,CAM
74,72,82,51,82,67,CAM
74,69,87,31,82,59,CAM
34,61,59,80,50,80,CB
72,76,70,68,80,70,CM
74,71,83,61,80,82,CAM
34,57,71,80,66,76,CB
76,77,66,62,79,72,CAM
29,61,73,80,69,72,CB
54,65,77,76,73,78,LB
70,76,72,74,74,75,CM
79,60,79,27,77,68,ST
73,73,80,52,82,76,GK
78,73,84,39,80,68,CAM
76,73,86,38,80,69,CAM
75,75,66,78,74,81,CM
80,78,77,58,77,78,GK
76,68,83,45,80,73,ST
67,74,71,74,77,78,CM
74,77,77,68,82,71,CAM
78,58,75,28,74,76,ST
67,76,72,52,84,60,CAM
58,72,73,72,81,69,CM
52,63,78,75,74,68,LB
65,76,72,75,80,77,CM
37,55,74,80,63,78,CB
57,68,85,74,74,72,LWB
36,53,77,80,55,76,CB
76,67,94,22,80,67,RW
35,58,56,80,53,78,CB
71,74,65,77,75,76,CDM
78,79,67,65,76,72,RM
56,68,92,72,74,69,RB
67,71,79,74,70,78,LB
73,65,79,56,82,77,GK
56,69,58,79,69,77,CB
71,76,55,75,75,78,CM
76,71,85,25,78,70,ST
74,77,68,55,78,61,LM
29,63,58,77,58,84,CB
78,67,73,42,73,77,ST
68,74,74,38,86,59,CAM
70,71,77,48,80,81,GK
71,81,74,61,80,56,CAM
49,73,80,71,79,64,LB
39,59,59,80,63,76,CB
48,60,68,79,52,75,CB
71,71,78,74,76,74,RB
25,52,66,80,56,74,CB
78,62,70,31,72,70,ST
61,70,66,78,75,73,CDM
75,77,81,58,80,74,GK
71,72,83,42,79,68,LM
76,79,67,47,80,72,CAM
76,69,80,46,82,74,GK
69,76,78,30,83,50,CAM
53,70,86,73,74,81,RWB
72,81,81,23,80,50,LW
69,77,78,45,80,54,LW
82,62,73,31,69,75,ST
79,67,56,41,76,69,ST
80,63,73,39,74,76,ST
72,75,83,52,79,48,CM
69,75,83,42,79,68,RM
43,63,54,79,64,75,CB
50,67,77,76,72,72,RB
77,79,70,53,82,68,CAM
74,79,70,66,77,73,CM
78,60,60,26,70,81,ST
38,63,67,78,60,79,CB
59,69,70,77,72,79,LB
60,71,88,71,78,64,LB
59,75,72,76,73,74,RB
71,72,76,72,78,79,CM
65,71,41,78,72,83,CDM
73,72,77,58,81,67,RW
78,58,63,30,74,75,ST
52,54,51,79,53,84,CB
70,76,75,31,80,62,CAM
71,75,65,76,77,73,CM
61,71,86,70,78,78,LB
66,67,96,38,87,81,RM
73,70,77,52,81,76,GK
76,72,78,44,77,75,RM
27,55,67,79,56,81,CB
44,67,72,78,66,81,CB
67,75,74,70,78,69,RWB
75,80,72,59,80,68,CAM
77,63,78,30,73,82,ST
70,80,66,39,79,64,CAM
62,71,60,76,74,74,CDM
77,72,81,44,78,76,ST
63,70,80,75,79,63,LB
37,64,53,78,63,75,CB
75,75,81,43,80,67,LM
39,62,77,79,71,75,CB
62,79,73,75,80,76,CDM
63,68,81,72,73,66,RB
71,70,93,51,83,61,RM
70,74,74,68,81,73,CAM
65,71,90,33,85,50,CAM
80,70,74,38,78,71,ST
39,71,74,78,76,77,CB
56,66,54,80,65,77,CDM
39,60,59,79,61,82,CB
75,68,85,46,76,71,ST
75,73,76,44,79,65,LM
76,74,90,49,79,73,RM
78,71,85,25,77,69,LW
77,74,80,47,78,75,GK
75,75,64,67,77,76,CM
74,72,81,45,82,49,RM
69,77,82,52,78,65,LM
64,74,87,76,77,78,RWB
41,57,64,81,52,76,CB
71,74,77,74,74,72,LB
73,75,70,71,79,80,CM
60,77,69,72,77,66,CM
81,61,71,34,78,66,ST
60,75,59,76,74,75,CDM
68,80,64,73,79,69,CDM
77,86,55,45,78,58,CAM
78,70,74,44,75,80,ST
78,77,69,66,80,74,CAM
64,76,77,72,77,70,LWB
69,74,76,70,80,70,RM
78,84,77,56,78,78,GK
61,68,82,76,75,80,RB
53,70,76,80,70,75,CB
77,55,79,27,73,80,ST
69,81,71,28,80,55,RM
75,74,79,48,80,65,LM
66,73,63,76,71,80,CB
73,69,79,46,83,78,GK
52,66,83,73,77,75,RWB
53,66,69,79,65,84,CB
69,73,77,47,81,68,CAM
65,70,66,77,70,84,CB
74,72,76,43,81,73,GK
73,74,78,53,83,72,GK
70,74,89,39,77,53,RM
65,78,66,57,79,67,CAM
56,68,89,66,72,78,RWB
70,75,79,71,80,75,CAM
74,73,76,41,77,79,GK
32,57,64,76,65,84,CB
47,70,75,77,73,76,CB
74,59,81,45,75,79,ST
75,73,81,37,81,52,CAM
67,74,67,74,76,69,CDM
64,72,84,70,77,86,RM
73,75,87,68,80,68,CAM
76,74,63,73,72,76,CM
77,69,90,50,76,72,ST
77,61,87,39,65,89,ST
38,68,76,73,75,68,RB
34,60,57,79,65,75,CB
72,70,78,73,75,77,LB
74,75,79,39,81,63,CAM
77,71,83,46,83,65,RM
77,69,75,49,77,72,ST
40,62,71,76,65,78,CB
56,64,81,72,76,73,LB
74,73,76,74,75,83,CM
77,74,84,35,76,66,ST
78,79,79,34,79,64,CAM
61,74,55,71,75,77,CM
68,75,76,33,80,59,CAM
38,61,66,78,64,75,CB
72,72,82,45,79,71,LM
63,75,74,72,75,76,CM
36,65,66,77,67,69,LB
65,75,74,66,82,68,CAM
44,61,83,76,65,82,CB
72,77,71,32,81,42,CAM
56,68,71,75,67,75,RB
74,74,82,47,78,56,RM
73,77,62,59,80,69,CM
77,64,77,34,71,78,ST
57,68,52,75,69,80,CDM
39,61,72,80,67,70,CB
75,68,84,33,82,72,ST
76,73,83,40,80,70,CAM
77,78,70,54,81,68,CAM
79,57,45,50,64,76,ST
51,73,51,76,70,62,CDM
