ShootingTotal,PassingTotal,PaceTotal,DefendingTotal,DribblingTotal,PhysicalityTotal
79,86,63,71,80,72
76,83,80,46,88,64
83,82,83,38,87,79
81,79,90,38,85,68
71,79,78,75,86,78
74,82,76,79,87,82
74,80,69,79,79,78
84,69,74,45,83,77
74,74,78,82,79,87
54,79,79,81,80,80
58,72,62,86,65,79
41,58,61,85,61,84
81,78,88,45,86,67
77,82,88,68,83,80
76,87,78,50,84,65
77,85,75,76,88,58
67,78,83,80,82,75
81,70,91,35,83,70
81,85,83,50,86,84
45,57,72,86,58,80
49,55,68,84,63,87
51,71,70,84,74,78
71,77,72,80,81,79
85,79,73,42,80,86
80,72,82,31,81,77
83,65,69,36,77,69
64,73,92,78,81,71
83,75,81,48,84,83
82,76,72,47,81,82
50,62,63,86,63,83
25,44,81,85,61,81
43,68,75,84,63,84
50,73,72,84,66,79
72,75,59,84,77,75
82,78,80,31,84,67
72,81,61,82,78,79
83,78,85,56,83,81
55,64,67,85,58,78
83,72,66,45,78,76
55,70,58,86,66,77
80,79,85,56,84,74
55,76,66,84,72,76
76,82,81,51,87,61
80,85,83,67,82,71
78,69,85,41,87,83
65,77,81,78,79,79
80,76,85,56,85,83
78,87,83,48,86,80
45,64,81,84,72,78
84,78,81,63,83,84
42,68,81,83,69,86
46,68,58,85,68,78
69,83,70,69,88,70
79,76,82,40,86,68
74,78,86,77,79,80
81,74,91,48,86,73
82,78,83,34,84,81
79,84,74,55,83,65
77,77,93,36,87,56
81,72,84,39,87,73
67,83,69,72,88,70
77,83,88,35,84,72
52,69,85,81,79,75
64,76,92,78,80,84
75,77,90,76,88,72
78,81,74,82,82,81
81,61,80,35,78,84
75,74,82,77,79,81
76,82,82,59,87,63
71,76,60,81,76,82
83,78,85,49,88,74
71,82,69,80,81,84
86,76,71,30,86,71
71,82,78,76,84,70
54,68,77,84,70,79
80,81,82,43,83,62
83,59,63,52,69,86
61,77,83,79,80,73
67,71,96,75,83,75
77,76,82,47,84,85
78,73,83,53,84,80
46,52,76,83,60,84
61,66,80,78,72,89
76,76,91,49,85,72
82,68,84,29,79,69
79,78,82,35,82,66
72,79,64,66,83,67
83,58,78,35,79,76
72,81,71,69,88,72
72,74,64,82,74,85
50,69,83,83,71,82
84,77,79,42,78,83
38,67,72,84,69,80
78,74,81,55,85,80
76,81,67,50,86,60
43,56,78,85,64,79
70,73,89,37,87,59
53,77,76,78,78,75
78,84,75,54,84,60
42,59,65,83,49,81
73,82,83,77,78,73
83,81,80,52,83,75
76,80,78,71,82,79
73,74,94,50,86,52
47,63,77,81,67,83
83,75,86,48,82,80
51,60,80,82,60,87
72,79,61,79,77,79
78,74,93,33,84,64
74,83,77,58,84,62
75,85,59,74,77,73
81,73,84,57,85,77
30,66,81,83,69,78
78,79,63,74,82,71
65,70,60,85,72,88
43,62,81,81,68,81
49,72,76,83,70,80
45,67,74,82,64,78
78,88,62,53,81,52
41,62,40,86,62,73
78,77,90,59,79,79
83,74,89,27,86,67
78,70,84,64,86,80
74,83,68,71,82,72
49,71,69,84,65,83
75,77,77,77,78,81
76,82,76,32,86,55
76,80,80,53,85,66
65,78,82,76,83,68
78,84,67,59,85,57
75,80,66,59,89,59
78,78,78,84,80,87
78,78,71,78,79,79
68,71,66,82,72,83
79,76,82,35,84,81
65,81,87,74,83,71
40,56,68,85,67,78
80,81,79,36,85,69
55,73,80,81,75,81
77,73,89,34,88,75
79,78,83,54,81,79
82,71,82,48,82,83
79,82,78,59,82,67
77,76,82,46,80,84
79,85,57,75,78,69
84,82,82,55,80,70
80,77,82,55,83,80
75,84,62,76,82,71
68,83,65,75,81,67
68,76,83,79,76,82
84,81,61,60,81,73
78,79,82,49,84,82
80,79,81,49,82,79
79,80,69,52,89,59
64,82,45,83,79,72
75,83,68,55,84,69
79,76,85,55,85,80
67,79,83,74,85,60
82,74,75,44,82,72
66,72,69,83,78,77
61,74,81,78,79,79
81,76,82,47,82,83
53,71,67,81,73,80
63,71,64,80,73,86
62,76,92,70,83,65
66,77,77,75,81,71
73,79,82,69,80,69
81,59,76,38,78,83
73,82,70,35,83,62
65,79,78,66,84,63
67,76,84,77,81,75
74,77,84,56,84,76
52,65,75,82,68,79
58,75,86,78,78,70
67,73,94,41,86,53
81,79,76,56,84,65
67,78,79,73,80,74
58,77,80,76,78,80
75,80,79,30,83,58
76,75,82,30,84,83
71,83,66,76,79,79
81,79,65,76,78,74
78,78,87,47,81,64
80,73,82,39,84,80
74,86,59,67,78,73
84,67,64,39,76,71
36,52,49,84,54,80
56,66,71,81,63,79
51,63,65,81,56,85
77,74,83,39,84,80
77,79,76,76,80,62
45,67,57,82,64,81
77,76,82,53,83,80
74,76,76,76,79,79
75,81,81,70,85,61
61,57,71,82,62,80
76,72,93,41,83,62
57,74,77,82,76,68
84,62,78,33,72,71
54,76,79,75,78,74
74,81,78,72,80,77
49,62,68,82,63,77
74,80,84,43,82,84
76,82,75,69,83,73
49,69,80,82,73,80
79,75,88,36,83,65
68,77,81,80,78,77
79,76,86,36,82,68
65,76,67,78,75,82
80,72,81,41,82,80
77,64,83,39,77,82
69,79,78,63,85,68
78,76,68,72,79,77
78,80,79,46,82,79
64,72,84,77,77,79
37,62,69,83,61,79
82,75,86,52,85,68
77,78,83,42,84,55
78,72,94,37,78,81
75,77,84,39,85,69
78,73,82,44,86,82
75,80,73,48,84,66
78,67,84,43,84,78
80,73,87,35,86,68
80,75,88,38,83,70
79,70,90,43,86,68
66,75,93,72,76,77
37,66,78,81,69,80
73,79,75,65,85,69
80,78,80,48,81,81
84,71,58,29,78,71
46,62,32,83,62,77
62,72,76,83,66,78
65,73,56,82,75,69
81,78,78,55,80,83
79,76,81,64,79,74
79,79,65,82,79,82
81,81,64,40,82,66
81,79,79,44,78,82
76,78,79,47,86,68
64,74,67,80,75,85
57,62,63,83,58,81
77,76,86,45,81,63
84,69,77,35,80,61
77,82,78,71,80,72
77,80,75,70,84,78
74,81,79,69,85,65
80,83,74,64,81,79
81,67,76,20,77,78
71,74,75,83,74,82
78,67,82,55,83,81
82,73,84,37,75,85
67,81,70,63,85,62
84,70,79,45,79,70
77,81,75,64,82,66
75,79,82,63,83,69
86,86,53,50,86,60
82,72,81,40,83,80
75,76,70,78,76,84
82,73,68,41,76,84
83,69,79,34,72,79
80,84,68,44,81,55
81,82,80,36,82,66
80,78,81,53,79,81
63,80,76,76,77,73
67,73,73,82,74,79
77,81,70,37,85,68
31,65,65,83,68,72
78,76,77,40,78,82
77,70,79,45,82,81
53,71,75,79,76,69
78,78,68,65,82,75
77,74,82,44,84,77
67,79,82,73,75,75
69,80,69,66,83,68
79,72,80,48,83,80
76,67,78,43,85,79
79,78,80,54,80,79
66,73,84,76,76,79
77,77,66,76,78,78
77,78,83,55,79,72
43,67,83,81,70,81
73,75,70,65,86,66
79,72,80,49,82,80
51,73,63,81,71,78
51,64,85,82,71,77
75,73,86,32,86,62
63,70,78,74,75,80
61,72,73,80,73,74
46,74,66,81,69,74
78,78,88,46,81,69
77,81,68,70,80,72
79,72,90,30,83,74
73,70,76,33,76,90
75,71,79,49,83,81
72,78,77,50,84,82
72,84,50,70,79,66
32,61,52,83,58,77
82,81,41,65,78,83
78,80,74,76,77,76
40,60,56,82,61,76
75,76,80,51,82,84
72,80,73,75,88,71
77,83,69,38,82,67
45,52,63,81,62,82
61,74,65,80,74,68
84,78,71,73,74,80
48,63,57,80,60,78
46,60,76,80,67,80
80,63,88,39,75,81
70,73,69,73,77,81
79,78,80,49,83,76
68,76,84,65,82,64
56,73,77,78,75,81
73,78,85,45,80,57
67,73,80,75,79,75
77,78,83,48,83,71
77,70,92,32,82,71
22,49,72,81,48,76
73,73,84,70,81,78
81,68,66,32,73,82
70,71,95,29,87,66
33,65,65,82,68,80
75,75,66,78,75,84
50,72,74,79,72,78
75,60,82,36,85,71
61,74,82,75,81,71
80,72,78,61,79,82
76,78,78,43,84,68
80,61,87,25,79,67
82,74,77,39,79,73
70,67,70,81,60,81
71,77,69,75,77,73
76,80,74,58,82,66
42,75,57,76,77,76
55,73,79,78,74,77
75,80,65,52,82,65
77,79,75,43,82,69
79,79,79,41,81,68
76,76,77,48,81,59
62,68,65,80,67,78
74,83,67,69,82,69
79,62,66,51,74,81
50,63,61,82,60,77
79,82,76,45,83,81
49,65,55,82,65,80
82,63,77,41,77,74
74,80,71,69,84,68
67,74,74,79,79,75
64,74,82,75,81,75
78,77,72,41,81,74
70,81,66,66,83,66
47,58,66,82,62,80
79,60,81,47,86,77
67,76,68,78,80,79
79,77,81,52,82,77
76,73,85,57,84,68
74,79,76,68,82,73
66,77,68,77,77,78
73,83,74,49,81,73
76,72,68,75,71,81
80,71,80,56,82,79
79,82,58,72,77,70
76,81,72,57,82,59
80,71,90,36,76,77
71,80,65,76,77,72
80,67,88,38,82,76
64,76,82,74,77,88
80,64,65,35,74,80
51,70,76,77,78,70
79,78,77,37,81,80
65,80,73,77,80,69
57,68,82,75,81,75
48,67,81,81,74,77
64,72,83,80,75,84
45,50,62,80,58,84
60,83,67,67,83,59
64,79,74,78,80,77
75,81,63,67,77,76
72,77,80,26,83,45
39,55,67,81,56,85
74,77,84,72,84,84
67,80,73,73,84,73
60,75,84,75,77,79
78,75,85,39,83,69
76,76,83,63,82,65
74,73,89,39,81,69
75,78,81,41,79,81
79,65,83,28,81,64
79,60,64,40,70,81
67,75,36,80,72,73
72,77,65,78,79,75
78,77,83,41,79,72
82,76,68,43,83,70
80,73,84,48,79,79
74,78,58,75,77,77
69,71,74,78,72,76
77,63,82,60,82,80
75,74,87,46,80,63
60,75,69,77,76,68
76,73,83,55,78,83
71,77,47,77,78,69
78,71,50,46,69,75
42,58,62,81,62,78
76,80,75,46,81,67
70,75,33,77,69,79
77,77,79,44,83,75
66,76,70,74,75,75
64,74,65,75,74,78
64,75,45,75,72,70
70,79,60,75,69,83
40,59,49,81,55,79
83,69,71,37,79,70
58,75,47,79,66,75
50,70,44,78,72,75
80,73,71,72,76,78
75,73,87,38,82,70
33,59,64,80,57,82
76,71,85,34,82,72
36,64,62,79,64,83
75,78,66,71,79,71
73,73,88,30,83,64
64,69,53,79,64,83
74,75,68,78,76,89
74,64,80,28,82,77
77,77,79,42,80,79
75,74,89,48,80,62
64,79,50,69,69,80
82,75,79,32,77,69
56,67,70,80,71,79
74,77,81,67,83,74
78,75,86,45,79,71
80,70,42,42,71,77
78,66,80,41,78,77
78,82,54,59,77,66
65,72,73,77,76,79
77,71,78,52,79,81
75,73,80,55,81,78
53,71,78,73,76,77
66,67,85,75,74,79
59,72,73,77,75,80
58,71,79,75,72,79
74,70,80,45,82,78
42,58,73,79,67,77
72,79,81,67,84,69
73,80,73,64,82,67
33,61,66,79,59,77
74,79,68,69,80,68
73,73,79,41,83,80
53,72,69,78,71,76
78,70,82,48,80,77
81,65,81,44,78,83
81,69,73,30,77,68
58,70,89,74,77,59
52,70,83,76,71,71
62,74,67,78,76,76
70,70,71,80,72,83
75,71,81,60,82,77
80,61,68,31,76,76
57,71,78,75,76,70
68,85,62,24,79,48
66,73,76,75,74,71
72,77,82,34,84,77
78,79,72,61,80,62
68,76,70,73,85,77
81,68,60,36,72,74
77,77,78,49,80,78
73,81,69,30,85,53
78,75,78,42,81,69
76,76,77,44,82,77
33,48,70,82,65,78
69,70,91,25,88,61
60,75,59,80,77,75
78,64,67,44,74,81
69,76,70,67,84,70
54,72,85,73,76,77
48,68,64,77,74,84
78,75,79,35,82,66
54,60,45,80,60,81
69,72,69,79,74,82
45,55,75,80,65,80
39,63,74,80,68,77
74,75,75,75,76,81
80,66,84,32,78,67
53,70,77,77,76,74
76,81,73,39,83,51
36,59,60,80,60,84
69,73,75,75,80,77
72,72,91,37,84,65
77,62,80,45,83,76
71,80,79,61,83,65
77,62,71,45,70,84
74,79,70,41,81,62
76,79,58,65,82,70
70,72,80,75,78,68
76,79,80,45,80,58
53,56,72,80,65,78
51,69,88,74,73,80
72,80,75,57,78,66
62,71,84,74,75,77
82,69,76,36,80,68
55,70,83,74,70,81
39,59,68,82,48,79
76,72,70,77,76,81
75,73,82,46,83,77
60,76,40,75,69,84
79,75,76,58,81,68
77,85,78,33,81,76
71,78,56,70,78,67
82,77,71,39,79,74
58,75,69,78,75,73
70,81,56,77,77,75
63,78,67,74,78,75
69,84,51,59,83,57
33,56,88,80,64,77
68,75,70,77,79,75
76,71,87,32,83,56
80,68,75,29,78,74
36,60,68,80,57,80
60,72,47,77,73,76
68,79,75,41,83,59
37,57,82,80,64,79
67,75,68,79,73,81
55,71,82,74,76,65
79,70,70,35,80,68
70,74,89,35,83,60
78,77,80,26,83,74
39,57,81,80,59,79
63,71,65,79,68,79
39,63,61,81,70,78
68,75,56,77,71,78
53,74,84,74,78,74
79,70,76,38,80,71
69,76,72,77,77,81
72,79,65,76,72,77
78,74,85,31,84,69
78,74,85,41,79,72
58,73,71,79,75,80
81,78,75,63,82,56
72,73,85,37,85,64
34,68,82,75,72,75
77,56,85,40,78,75
44,62,41,80,64,81
78,79,77,46,77,79
70,83,46,66,76,71
71,81,55,36,81,42
43,73,74,72,73,79
73,77,69,57,78,72
40,58,73,80,58,81
63,77,76,71,76,79
60,72,79,73,74,82
29,52,70,79,57,83
81,64,59,36,72,77
75,75,59,73,75,80
51,62,46,79,63,78
66,74,72,73,77,68
80,70,80,58,77,75
83,74,61,30,79,63
77,73,78,45,78,78
76,76,76,41,77,72
78,79,47,59,75,73
72,86,73,52,85,74
62,74,74,74,75,79
64,73,68,75,75,76
74,76,85,55,82,59
67,74,82,72,78,72
46,55,50,80,50,78
79,66,65,40,74,80
79,62,82,30,78,67
42,65,50,79,59,78
56,70,40,77,66,85
72,75,48,77,71,76
76,63,68,31,75,66
75,79,58,75,70,79
65,73,66,78,76,70
61,73,74,75,75,87
58,69,70,78,74,68
74,79,63,79,74,74
72,76,73,42,84,66
72,78,67,63,79,66
64,62,64,78,69,85
78,69,65,29,71,86
78,48,65,35,74,77
78,67,72,48,71,84
75,80,69,70,80,65
62,80,58,74,73,75
73,77,74,40,84,52
49,70,55,77,69,79
47,58,64,79,59,79
74,79,81,44,79,77
73,80,64,52,79,50
81,64,61,44,74,74
63,74,69,78,71,71
61,71,73,77,73,68
75,78,69,67,80,71
48,62,32,79,48,82
70,74,83,37,81,59
51,69,83,73,77,65
69,73,73,76,74,77
72,73,80,44,80,56
76,74,77,23,81,79
79,76,79,44,79,70
75,77,84,69,81,67
56,74,70,72,77,80
70,74,70,67,78,72
74,72,82,51,82,67
74,69,87,31,82,59
34,61,59,80,50,80
72,76,70,68,80,70
74,71,83,61,80,82
34,57,71,80,66,76
76,77,66,62,79,72
29,61,73,80,69,72
54,65,77,76,73,78
70,76,72,74,74,75
79,60,79,27,77,68
73,73,80,52,82,76
78,73,84,39,80,68
76,73,86,38,80,69
75,75,66,78,74,81
80,78,77,58,77,78
76,68,83,45,80,73
67,74,71,74,77,78
74,77,77,68,82,71
78,58,75,28,74,76
67,76,72,52,84,60
58,72,73,72,81,69
52,63,78,75,74,68
65,76,72,75,80,77
37,55,74,80,63,78
57,68,85,74,74,72
36,53,77,80,55,76
76,67,94,22,80,67
35,58,56,80,53,78
71,74,65,77,75,76
78,79,67,65,76,72
56,68,92,72,74,69
67,71,79,74,70,78
73,65,79,56,82,77
56,69,58,79,69,77
71,76,55,75,75,78
76,71,85,25,78,70
74,77,68,55,78,61
29,63,58,77,58,84
78,67,73,42,73,77
68,74,74,38,86,59
70,71,77,48,80,81
71,81,74,61,80,56
49,73,80,71,79,64
39,59,59,80,63,76
48,60,68,79,52,75
71,71,78,74,76,74
25,52,66,80,56,74
78,62,70,31,72,70
61,70,66,78,75,73
75,77,81,58,80,74
71,72,83,42,79,68
76,79,67,47,80,72
76,69,80,46,82,74
69,76,78,30,83,50
53,70,86,73,74,81
72,81,81,23,80,50
69,77,78,45,80,54
82,62,73,31,69,75
79,67,56,41,76,69
80,63,73,39,74,76
72,75,83,52,79,48
69,75,83,42,79,68
43,63,54,79,64,75
50,67,77,76,72,72
77,79,70,53,82,68
74,79,70,66,77,73
78,60,60,26,70,81
38,63,67,78,60,79
59,69,70,77,72,79
60,71,88,71,78,64
59,75,72,76,73,74
71,72,76,72,78,79
65,71,41,78,72,83
73,72,77,58,81,67
78,58,63,30,74,75
52,54,51,79,53,84
70,76,75,31,80,62
71,75,65,76,77,73
61,71,86,70,78,78
66,67,96,38,87,81
73,70,77,52,81,76
76,72,78,44,77,75
27,55,67,79,56,81
44,67,72,78,66,81
67,75,74,70,78,69
75,80,72,59,80,68
77,63,78,30,73,82
70,80,66,39,79,64
62,71,60,76,74,74
77,72,81,44,78,76
63,70,80,75,79,63
37,64,53,78,63,75
75,75,81,43,80,67
39,62,77,79,71,75
62,79,73,75,80,76
63,68,81,72,73,66
71,70,93,51,83,61
70,74,74,68,81,73
65,71,90,33,85,50
80,70,74,38,78,71
39,71,74,78,76,77
56,66,54,80,65,77
39,60,59,79,61,82
75,68,85,46,76,71
75,73,76,44,79,65
76,74,90,49,79,73
78,71,85,25,77,69
77,74,80,47,78,75
75,75,64,67,77,76
74,72,81,45,82,49
69,77,82,52,78,65
64,74,87,76,77,78
41,57,64,81,52,76
71,74,77,74,74,72
73,75,70,71,79,80
60,77,69,72,77,66
81,61,71,34,78,66
60,75,59,76,74,75
68,80,64,73,79,69
77,86,55,45,78,58
78,70,74,44,75,80
78,77,69,66,80,74
64,76,77,72,77,70
69,74,76,70,80,70
78,84,77,56,78,78
61,68,82,76,75,80
53,70,76,80,70,75
77,55,79,27,73,80
69,81,71,28,80,55
75,74,79,48,80,65
66,73,63,76,71,80
73,69,79,46,83,78
52,66,83,73,77,75
53,66,69,79,65,84
69,73,77,47,81,68
65,70,66,77,70,84
74,72,76,43,81,73
73,74,78,53,83,72
70,74,89,39,77,53
65,78,66,57,79,67
56,68,89,66,72,78
70,75,79,71,80,75
74,73,76,41,77,79
32,57,64,76,65,84
47,70,75,77,73,76
74,59,81,45,75,79
75,73,81,37,81,52
67,74,67,74,76,69
64,72,84,70,77,86
73,75,87,68,80,68
76,74,63,73,72,76
77,69,90,50,76,72
77,61,87,39,65,89
38,68,76,73,75,68
34,60,57,79,65,75
72,70,78,73,75,77
74,75,79,39,81,63
77,71,83,46,83,65
77,69,75,49,77,72
40,62,71,76,65,78
56,64,81,72,76,73
74,73,76,74,75,83
77,74,84,35,76,66
78,79,79,34,79,64
61,74,55,71,75,77
68,75,76,33,80,59
38,61,66,78,64,75
72,72,82,45,79,71
63,75,74,72,75,76
36,65,66,77,67,69
65,75,74,66,82,68
44,61,83,76,65,82
72,77,71,32,81,42
56,68,71,75,67,75
74,74,82,47,78,56
73,77,62,59,80,69
77,64,77,34,71,78
57,68,52,75,69,80
39,61,72,80,67,70
75,68,84,33,82,72
76,73,83,40,80,70
77,78,70,54,81,68
79,57,45,50,64,76
51,73,51,76,70,62
76,66,69,32,71,81
36,54,56,76,53,84
54,74,67,77,73,69
64,74,82,70,76,78
64,72,61,74,69,74
75,74,75,33,78,72
74,73,58,77,74,87
63,73,84,70,75,79
78,81,54,36,77,76
79,76,65,35,79,60
55,67,71,80,68,75
65,73,72,74,68,80
76,78,53,44,78,67
71,78,72,24,84,60
75,70,77,37,79,78
76,71,73,44,75,79
79,71,53,44,74,69
72,79,66,47,78,71
81,67,36,41,68,70
63,78,41,75,77,64
64,65,61,82,68,73
75,71,77,39,79,77
53,53,63,78,59,80
71,73,81,39,80,76
49,64,57,79,62,71
46,60,55,79,58,74
78,68,55,30,73,70
77,74,83,41,75,67
75,79,67,34,78,46
66,67,39,76,67,86
69,77,68,65,84,74
37,59,50,78,54,78
46,59,42,77,55,83
45,59,59,78,58,82
76,72,80,35,79,74
73,78,68,50,83,67
68,72,68,73,75,83
78,57,69,27,68,73
61,69,88,71,76,76
71,75,78,60,80,68
72,73,77,38,81,55
82,71,90,56,77,62
73,70,85,51,75,82
72,78,73,68,79,70
58,76,60,71,79,68
68,77,60,66,82,67
75,73,77,50,79,75
80,70,74,29,76,62
67,76,69,74,77,74
74,73,78,29,82,77
47,63,58,77,58,78
78,74,84,29,79,72
73,72,85,37,82,63
73,72,86,62,79,66
71,74,83,35,83,57
43,69,73,78,68,77
69,69,58,77,74,73
34,67,68,76,65,76
77,67,78,45,80,74
49,47,54,79,56,73
67,72,83,70,79,78
76,68,94,49,81,77
64,74,76,76,76,72
64,72,77,38,81,68
78,70,74,30,77,72
67,76,72,73,76,75
51,67,71,75,68,81
57,73,73,77,73,77
49,71,70,73,71,77
63,71,47,73,71,80
68,74,80,70,74,79
67,72,66,75,71,75
77,66,71,38,75,76
73,70,79,44,80,77
75,68,90,34,80,64
63,76,63,69,79,64
79,71,78,42,80,61
32,55,46,79,58,81
71,72,80,33,82,61
46,72,74,73,72,68
41,54,34,78,49,80
69,71,88,39,82,53
62,77,50,70,73,68
67,71,89,53,84,64
77,68,82,36,81,51
65,72,88,73,78,73
74,72,73,73,72,80
77,75,73,65,76,72
58,67,56,78,65,76
64,76,71,75,76,69
40,59,73,77,63,78
74,74,77,44,78,78
52,53,52,79,61,79
51,72,86,72,73,77
64,71,60,76,73,77
70,72,75,73,77,76
75,75,76,36,76,76
50,62,69,76,66,82
75,71,75,36,78,80
75,82,77,52,79,76
77,68,77,43,74,81
55,67,64,73,71,77
59,65,67,80,64,78
57,61,45,78,65,76
74,78,66,71,75,76
77,74,74,56,77,80
75,66,76,38,80,76
63,70,77,73,74,77
63,71,53,77,73,75
35,51,58,77,55,79
78,67,77,41,73,71
67,76,54,69,76,74
64,73,56,73,70,74
40,55,59,79,62,72
69,75,78,69,78,66
51,66,75,75,73,72
69,74,80,43,83,53
75,71,86,30,80,64
75,77,73,51,80,65
67,78,63,63,82,54
49,66,64,79,68,76
73,73,78,45,82,66
70,67,82,56,74,81
75,64,67,33,75,65
48,70,81,74,73,75
74,77,77,47,80,74
33,56,33,78,65,83
74,70,79,41,79,76
58,71,87,70,76,73
37,56,65,79,56,73
75,59,80,33,75,80
71,74,83,72,75,78
71,73,74,71,74,76
72,78,63,69,74,76
74,75,77,38,80,67
43,75,79,71,75,69
73,71,79,21,81,77
51,54,62,78,59,80
78,60,71,41,74,82
70,73,75,54,82,54
44,65,65,79,65,72
72,70,88,60,82,75
78,65,86,40,74,79
71,74,77,36,82,71
73,66,87,36,84,62
77,63,72,31,74,78
77,55,78,27,75,75
66,67,92,25,84,67
72,76,80,69,79,76
32,45,81,79,56,77
69,70,78,77,73,82
79,65,77,32,71,70
54,68,59,74,68,82
68,81,65,62,78,73
74,77,78,71,77,84
71,68,90,36,84,62
68,77,72,53,80,67
61,65,72,75,66,85
76,73,79,36,81,73
73,66,61,45,73,69
47,59,51,79,56,76
39,68,66,74,67,74
63,75,66,79,74,75
39,47,73,79,59,80
71,74,81,76,76,83
60,67,87,70,76,69
67,68,85,29,81,46
66,70,85,67,77,71
70,66,91,32,82,66
68,75,74,73,77,71
76,74,80,39,80,80
71,64,87,45,83,60
76,70,79,45,71,75
67,74,82,40,81,59
46,70,75,75,72,68
66,77,78,72,76,76
63,70,80,74,71,76
78,59,93,24,76,71
69,72,85,48,82,63
73,68,88,27,80,70
72,69,76,45,78,75
76,74,82,30,80,61
71,75,64,72,76,76
72,75,67,74,73,76
54,75,74,73,76,59
39,54,67,80,59,72
72,77,61,78,71,82
72,70,95,46,76,63
36,52,65,78,55,79
79,64,72,45,71,76
50,69,82,73,73,70
73,74,55,72,77,71
72,75,74,72,75,73
72,75,74,58,82,65
72,74,86,53,80,63
67,72,77,76,77,83
73,68,85,29,82,62
76,69,83,38,78,71
62,74,69,76,69,80
63,72,81,37,76,69
73,77,82,52,82,70
39,53,59,80,56,81
54,71,79,75,73,63
63,72,80,70,80,70
65,70,65,76,63,77
61,65,58,72,57,79
63,75,82,71,77,64
71,71,86,37,83,46
73,76,79,27,77,60
71,73,89,58,77,70
53,61,80,79,64,81
64,77,79,75,76,79
28,53,52,77,56,83
51,70,81,70,73,79
64,71,84,72,76,76
77,75,79,34,71,77
48,69,76,74,75,70
62,71,79,74,69,69
76,74,76,48,75,75
59,73,66,71,77,79
72,78,68,66,80,61
66,68,82,69,77,69
74,75,78,42,79,73
46,70,68,75,74,69
65,74,59,69,73,75
60,63,58,75,70,78
75,74,76,55,75,67
67,75,50,75,67,77
73,75,77,37,79,77
64,77,63,68,77,64
51,66,91,70,73,69
77,59,73,33,76,72
70,71,66,74,72,83
56,66,73,75,70,82
67,76,66,68,75,79
60,71,73,74,71,82
62,73,78,72,73,74
78,67,77,31,75,72
51,72,85,67,75,75
41,52,39,79,49,72
70,76,71,54,77,66
75,73,80,49,82,63
58,65,71,79,63,75
75,85,78,59,79,75
63,76,77,69,77,75
76,70,76,42,76,75
49,64,52,76,62,79
72,71,78,44,81,55
